id;kategorie;frage;runde;gedeckt;beanstandungen;verlauf;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
11;beide;Wie hoch ist die Abfindung bei einer Kündigung?;1;True;;Runde 1 Entwurf USB: Eine Abfindung wird im Falle einer ordentlichen Kündigung gemäss 2.3.2 b ausgerichtet. Ebenfalls kann bei einer Auflösung des Arbeitsverhältnisses im gegenseitigen Einvernehmen gemäss 2.3.7 eine Abfindung ausgerichtet werden. Als Berechnungskriterien kommen Lebensalter, Anstellungsdauer sowie die individuellen sozialen Verhältnisse der betroffenen Person zur Anwendung. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];46.89;43.66;3962;390;0.0;0;;True;True;;;Eine Abfindung wird im Falle einer ordentlichen Kündigung gemäss 2.3.2 b ausgerichtet. Ebenfalls kann bei einer Auflösung des Arbeitsverhältnisses im gegenseitigen Einvernehmen gemäss 2.3.7 eine Abfindung ausgerichtet werden. Als Berechnungskriterien kommen Lebensalter, Anstellungsdauer sowie die individuellen sozialen Verhältnisse der betroffenen Person zur Anwendung.;True;True;;;Wenn das Arbeitsverhältnis im gegenseitigen Einvernehmen aufgelöst wird (Ziff. 10.9), so kann eine Abgangsentschädigung zugesprochen werden. Diese beträgt maximal zwölf Monatslöhne und muss vom CEO bewilligt werden.
12;beide;Darf ich eine Nebenbeschäftigung ausüben?;1;True;;Runde 1 Entwurf USB: Mitarbeitende des Universitätsspitals Basel müssen ihre Führungsverantwortlichen rechtzeitig über die Aufnahme einer geplanten oder Änderung einer bestehenden Nebenbeschäftigung orientieren. Die Ausübung einer Nebenbeschäftigung ist bewilligungspflichtig, wenn die Aufgabenerfüllung dadurch beeinträchtigt werden könnte, eine Interessenskollision besteht oder Arbeitszeit in Anspruch genommen wird. Die Anstellungsinstanz kann die Bewilligung einer Nebenbeschäftigung mit Auflagen verbinden. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];47.8;44.7;5741;371;0.0;0;;True;True;;;Mitarbeitende des Universitätsspitals Basel müssen ihre Führungsverantwortlichen rechtzeitig über die Aufnahme einer geplanten oder Änderung einer bestehenden Nebenbeschäftigung orientieren. Die Ausübung einer Nebenbeschäftigung ist bewilligungspflichtig, wenn die Aufgabenerfüllung dadurch beeinträchtigt werden könnte, eine Interessenskollision besteht oder Arbeitszeit in Anspruch genommen wird. Die Anstellungsinstanz kann die Bewilligung einer Nebenbeschäftigung mit Auflagen verbinden.;True;True;;;Am Kantonsspital Baselland sind entgeltliche Beschäftigungen grundsätzlich möglich, solange sie nicht den Interessen des Arbeitgebers zuwider laufen. Jede entgeltliche Beschäftigung ausserhalb des Arbeitgebers ist rechtzeitig und vollständig mitzuteilen und grundsätzlich bewilligungspflichtig, solange sie die berufliche Leistungsfähigkeit nicht beeinträchtigt.
13;nur_eines;Zählt die Umkleidezeit als Arbeitszeit?;1;True;;Runde 1 Entwurf USB: Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];40.84;37.63;5465;288;0.0;0;;True;True;Arbeitszeitreglement;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
14;nur_eines;Habe ich Anspruch auf ein Arbeitszeugnis?;1;True;;Runde 1 Entwurf USB: Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];44.61;41.51;5414;331;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;True;True;;;Mitarbeitende erhalten auf Verlangen ein Zwischenzeugnis und haben Anspruch auf ein Schlusszeugnis, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über ihre Leistung und ihr Verhalten ausspricht. Das Schlusszeugnis ist spätestens am letzten Arbeitstag auszustellen.
15;nur_eines;Darf ich das Geschäftsnotebook privat nutzen?;1;True;;Runde 1 Entwurf USB: Die Belegstellen dieses Spitals geben zu dieser Frage keine Auskunft. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];37.87;34.67;4182;266;0.0;0;;;True;;;Die Belegstellen dieses Spitals geben zu dieser Frage keine Auskunft.;False;False;ICT | Reglement;;Die Belegstellen dieses Spitals geben zu dieser Frage keine Auskunft.
16;nur_eines;Bekomme ich eine Treueprämie?;1;True;;Runde 1 Entwurf USB: Der Arbeitgeber honoriert langjährige Betriebszugehörigkeit durch die Ausrichtung von Dienstaltersgeschenken, welche in Form von Monatslohn oder Tagen gewährt werden. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];44.7;41.45;5010;340;0.0;0;;;False;;;Der Arbeitgeber honoriert langjährige Betriebszugehörigkeit durch die Ausrichtung von Dienstaltersgeschenken, welche in Form von Monatslohn oder Tagen gewährt werden.;True;True;CHF;;Mitarbeitende erhalten Treuprämien in Abhängigkeit vom Dienstalter, wobei die Höhe je nach Dienstjahren variiert. Zudem können für ausserordentliche Leistungen oder spezielle Arbeiten einmalige Prämien ausgerichtet werden.
17;keines;Habe ich Anspruch auf Homeoffice?;1;True;;Runde 1 Entwurf USB: Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];40.89;37.78;5798;281;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
18;tabelle;Wie viele freie Tage bekomme ich bei meiner Heirat?;2;True;;Runde 1 Entwurf USB: Bei Ihrer Heirat gewährt das Universitätsspital Basel zwei Arbeitstage bezahlten Urlaub. Dies gilt auch für die Eintragung der Partnerschaft. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=False, beanstandet=['KSBL: Das Kantonsspital Baselland gewährt bei Ihrer Heirat drei Arbeitstage bezahlten Urlaub.'] || Runde 2 Entwurf USB: Das Universitätsspital Basel gewährt bei der Heirat oder Eintragung der Partnerschaft der Mitarbeiterin bzw. des Mitarbeiters zwei Arbeitstage bezahlten Urlaub. Bei Heirat oder Eintragung der Partnerschaft von nahen Angehörigen wird ein Arbeitstag gewährt. || Runde 2 Kritik USB: gedeckt=True, beanstandet=[] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[];90.41;87.24;11539;825;0.0;0;;True;True;;;Das Universitätsspital Basel gewährt bei der Heirat oder Eintragung der Partnerschaft der Mitarbeiterin bzw. des Mitarbeiters zwei Arbeitstage bezahlten Urlaub. Bei Heirat oder Eintragung der Partnerschaft von nahen Angehörigen wird ein Arbeitstag gewährt.;True;True;;;Das Kantonsspital Baselland gewährt bei eigener Heirat oder Eintragung der Partnerschaft drei Arbeitstage bezahlten Urlaub. Bei Heirat/Eintragung der Partnerschaft in der Familie (Eltern, Kinder, Trauzeuge bei Geschwistern) wird ein Arbeitstag gewährt.
19;tabelle;Was ist das Bandminimum im Lohnband 5?;1;True;;Runde 1 Entwurf USB: Gemäss Anhang 3 des GAV USB beträgt das Bandminimum im Lohnband 5 CHF 55'549. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];38.1;35.02;6530;228;0.0;0;;;True;;;Gemäss Anhang 3 des GAV USB beträgt das Bandminimum im Lohnband 5 CHF 55'549.;False;True;Anhang;;Die Belegstellen des KSBL regeln diese Frage nicht.
20;keines;Zahlt der Arbeitgeber einen Beitrag an die Verpflegung?;1;True;;Runde 1 Entwurf USB: Die Belegstellen für das Universitaetsspital Basel geben zu dieser Frage keine Auskunft. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];40.29;36.98;5753;276;0.0;0;;;True;;;Die Belegstellen für das Universitaetsspital Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen für das Kantonsspital Baselland geben zu dieser Frage keine Auskunft.
