id;kategorie;frage;runde;gedeckt;beanstandungen;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
11;beide;Wie hoch ist die Abfindung bei einer Kündigung?;2;False;Die Abgangsentschädigung beträgt maximal zwölf Monatslöhne.;81.06;80.94;5514;748;0.0;0;;True;True;;;Eine Abfindung wird im Falle einer ordentlichen Kündigung gem. 2.3.2 b. ausgerichtet. Bei einer Auflösung des Arbeitsverhältnisses im gegenseitigen Einvernehmen gem. 2.3.7 kann ebenfalls eine Abfindung ausgerichtet werden. Als Berechnungskriterien für eine Abfindung kommen Lebensalter, Anstellungsdauer sowie die individuellen sozialen Verhältnisse der betroffenen Person zur Anwendung.;True;True;;;Wenn das Arbeitsverhältnis im gegenseitigen Einvernehmen aufgelöst wird (Ziff. 10.9), so kann eine Abgangsentschädigung zugesprochen werden. Die Abgangsentschädigung beträgt maximal zwölf Monatslöhne. Abgangsentschädigungen müssen vom CEO bewilligt werden.
12;beide;Darf ich eine Nebenbeschäftigung ausüben?;1;True;;38.13;38.0;3867;329;0.0;0;;True;True;;;Mitarbeitende des Universitätsspitals Basel müssen ihre Führungsverantwortlichen rechtzeitig über die Aufnahme einer geplanten oder Änderung einer bestehenden Nebenbeschäftigung orientieren. Die Ausübung einer Nebenbeschäftigung ist bewilligungspflichtig, wenn die Aufgabenerfüllung dadurch beeinträchtigt werden könnte, eine Interessenskollision besteht oder Arbeitszeit in Anspruch genommen wird. Die Anstellungsinstanz kann die Bewilligung einer Nebenbeschäftigung mit Auflagen verbinden.;True;True;;;Am Kantonsspital Baselland sind entgeltliche Beschäftigungen grundsätzlich erlaubt, solange sie nicht den Interessen des Arbeitgebers zuwider laufen. Jede entgeltliche Beschäftigung ausserhalb des Arbeitgebers ist rechtzeitig und vollständig mitzuteilen und grundsätzlich bewilligungspflichtig, solange sie die berufliche Leistungsfähigkeit nicht beeinträchtigt.
13;nur_eines;Zählt die Umkleidezeit als Arbeitszeit?;1;True;;24.39;24.27;3636;189;0.0;0;;True;True;Arbeitszeitreglement;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
14;nur_eines;Habe ich Anspruch auf ein Arbeitszeugnis?;1;True;;30.83;30.7;3615;262;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;True;True;;;Mitarbeitende erhalten auf Verlangen ein Zwischenzeugnis und haben Anspruch auf ein Schlusszeugnis, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über ihre Leistung und ihr Verhalten ausspricht. Das Schlusszeugnis ist spätestens am letzten Arbeitstag auszustellen.
15;nur_eines;Darf ich das Geschäftsnotebook privat nutzen?;1;True;;23.34;23.23;2778;201;0.0;0;;;True;;;Die Belegstellen dieses Spitals geben zu dieser Frage keine Auskunft.;False;False;ICT | Reglement;;Die Belegstellen dieses Spitals geben zu dieser Frage keine Auskunft.
16;nur_eines;Bekomme ich eine Treueprämie?;2;True;;149.2;149.07;7589;1355;0.0;0;;;False;;;Der Arbeitgeber honoriert langjährige Betriebszugehörigkeit durch die Ausrichtung von Dienstaltersgeschenken. Dienstjahre 5, In Monatslohn 1/8, Oder in Tagen 2.5. Dienstjahre 10, In Monatslohn ¼, Oder in Tagen 5. Dienstjahre 15, In Monatslohn ¼, Oder in Tagen 5. Dienstjahre 20, In Monatslohn ½, Oder in Tagen 10. Dienstjahre 25, In Monatslohn ¾, Oder in Tagen 15. Dienstjahre 30, In Monatslohn ¾, Oder in Tagen 15. Dienstjahre 35, In Monatslohn ¾, Oder in Tagen 15. Dienstjahre 40, In Monatslohn 1, Oder in Tagen 20. Bei Mitarbeitenden, welche vor Inkrafttreten des GAV angestellt waren, wird das nächstfolgende Dienstjubiläum nach alter Regelung5 gewährt, sofern diese für die Mitarbeitenden vorteilhafter ist. Alle weiteren Dienstjubiläen richten sich nach dem GAV.;True;True;;;"Die Mitarbeitenden erhalten Treuprämien in Abhängigkeit vom Dienstalter. Die Höhe beträgt a. nach 10 Dienstjahren CHF 1'500.--; b. nach 15 Dienstjahren CHF 2'000.--; c. nach 20 Dienstjahren CHF 3'000.--; d. nach 25 Dienstjahren CHF 4'000.--; e. nach 30, 35, 40 und 45 Dienstjahren: CHF 5'000.--. Die Auszahlung erfolgt entsprechend dem Beschäftigungsgrad der letzten 5 Dienstjahre. Nach vollendetem 3. Dienstjahr werden 2 zusätzliche Ferientage gewährt. Im Jahr der Vollendung des 3. Dienstjahres werden diese Ferientage pro rata gewährt. Ab dem der Vollendung des 3. Dienstjahres folgenden Kalenderjahr beträgt deshalb der Ferienanspruch pro Kalenderjahr: a. Bis 20 Jahre: 30 Arbeitstage; b. 21 bis 49 Jahre: 27 Arbeitstage; c. 50 bis 59 Jahre: 29 Arbeitstage: d. 60 bis Pensionierung: 32 Arbeitstage."
17;keines;Habe ich Anspruch auf Homeoffice?;1;True;;29.92;29.79;3858;217;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
18;tabelle;Wie viele freie Tage bekomme ich bei meiner Heirat?;2;False;Für die Heirat oder Eintragung der Partnerschaft der Mitarbeiterin bzw. des Mitarbeiters werden 2 Arbeitstage bezahlten Urlaub gewährt. | Für die Heirat oder Eintragung der Partnerschaft von nahen Angehörigen wird 1 Arbeitstag gewährt.;87.91;87.77;7759;712;0.0;0;;True;True;;;Für die Heirat oder Eintragung der Partnerschaft der Mitarbeiterin bzw. des Mitarbeiters werden 2 Arbeitstage bezahlten Urlaub gewährt. Für die Heirat oder Eintragung der Partnerschaft von nahen Angehörigen wird 1 Arbeitstag gewährt.;True;True;;;Bei eigener Heirat oder Eintragung der Partnerschaft werden 3 Arbeitstage gewährt. Bei Heirat/Eintragung der Partnerschaft in der Familie (Eltern, Kinder, Trauzeuge bei Geschwistern) wird 1 Arbeitstag gewährt.
19;tabelle;Was ist das Bandminimum im Lohnband 5?;1;True;;26.57;26.44;4348;178;0.0;0;;;True;;;Gemäss Anhang 3 des GAV USB beträgt das Bandminimum im Lohnband 5 CHF 55'549.;False;True;Anhang;;Die Belegstellen des KSBL regeln diese Frage nicht.
20;keines;Zahlt der Arbeitgeber einen Beitrag an die Verpflegung?;1;True;;26.27;26.16;3829;187;0.0;0;;;True;;;Die Belegstellen für das Universitaetsspital Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen für das Kantonsspital Baselland geben zu dieser Frage keine Auskunft.
