id;kategorie;frage;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
11;beide;Wie hoch ist die Abfindung bei einer Kündigung?;23.85;23.72;1813;235;0.0;0;;True;True;;;Bei einer ordentlichen Kündigung wird eine Abfindung gemäss Ziff. 2.3.2 b ausgerichtet, bei Auflösung im gegenseitigen Einvernehmen gemäss Ziff. 2.3.7. Die Berechnungskriterien für eine Abfindung sind das Lebensalter, die Anstellungsdauer sowie die individuellen sozialen Verhältnisse der betroffenen Person.;True;True;;;Im Falle einer Auflösung des Arbeitsverhältnisses im gegenseitigen Einvernehmen kann eine Abgangsentschädigung zugesprochen werden, die maximal zwölf Monatslöhne beträgt und vom CEO bewilligt werden muss.
12;beide;Darf ich eine Nebenbeschäftigung ausüben?;28.77;28.64;2077;283;0.0;0;;True;True;;;Die Mitarbeitenden des Universitätsspitals Basel müssen ihre Führungsverantwortlichen rechtzeitig über die Aufnahme einer geplanten oder Änderung einer bestehenden Nebenbeschäftigung orientieren. Eine Nebenbeschäftigung ist bewilligungspflichtig, wenn sie die Aufgabenerfüllung beeinträchtigen könnte, eine Interessenskollision besteht oder Arbeitszeit in Anspruch genommen wird. Die Anstellungsinstanz kann die Bewilligung einer Nebenbeschäftigung mit Auflagen verbinden.;True;True;;;Am Kantonsspital Baselland sind entgeltliche Beschäftigungen grundsätzlich möglich, solange sie den Interessen des Arbeitgebers nicht zuwider laufen und die berufliche Leistungsfähigkeit nicht beeinträchtigen. Diese sind grundsätzlich bewilligungspflichtig und müssen der Anstellungsinstanz mitgeteilt werden. Es gelten weitere Regeln bezüglich Rechnungsstellung, Marketing und Meldepflichten.
13;nur_eines;Zählt die Umkleidezeit als Arbeitszeit?;17.66;17.53;1901;164;0.0;3;USB nennt Belegstelle 3 aus KSBL | USB nennt Belegstelle 5 aus KSBL | USB beantwortet die Frage nicht, nennt aber [2, 3, 4, 5, 6];True;True;Arbeitszeitreglement;;Die Belegstellen dieses Spitals geben keine Auskunft, ob die Umkleidezeit als Arbeitszeit zählt.;;True;;Umkleidezeit;Die Belegstellen dieses Spitals geben keine Auskunft, ob die Umkleidezeit als Arbeitszeit zählt.
14;nur_eines;Habe ich Anspruch auf ein Arbeitszeugnis?;20.29;20.16;2053;189;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;True;True;;;Mitarbeitende erhalten auf Verlangen ein Zwischenzeugnis und ein Schlusszeugnis, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über ihre Leistung und ihr Verhalten ausspricht. Das Zwischenzeugnis ist innert Monatsfrist auszustellen, das Schlusszeugnis spätestens am letzten Arbeitstag.
15;nur_eines;Darf ich das Geschäftsnotebook privat nutzen?;15.18;15.06;1671;140;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;True;False;ICT | Reglement;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
16;nur_eines;Bekomme ich eine Treueprämie?;27.24;27.12;2079;263;0.0;0;;;False;;;Der Arbeitgeber honoriert langjährige Betriebszugehörigkeit durch die Ausrichtung von Dienstaltersgeschenken. Diese Geschenke werden in Form eines Monatslohns oder in Tagen gewährt, wobei die Höhe je nach Dienstalter variiert.;True;True;;;Mitarbeitende erhalten Treuprämien in Abhängigkeit vom Dienstalter. Die Höhe beträgt CHF 1'500.-- nach 10 Dienstjahren, CHF 2'000.-- nach 15 Dienstjahren, CHF 3'000.-- nach 20 Dienstjahren und CHF 4'000.-- nach 25 Dienstjahren. Ab 30 Dienstjahren werden CHF 5'000.-- gewährt.
17;keines;Habe ich Anspruch auf Homeoffice?;19.93;19.79;2158;186;0.0;8;USB nennt Belegstelle 2 aus KSBL | USB nennt Belegstelle 3 aus KSBL | USB nennt Belegstelle 6 aus KSBL | USB beantwortet die Frage nicht, nennt aber [1, 2, 3, 4, 5, 6] | KSBL nennt Belegstelle 1 aus USB | KSBL nennt Belegstelle 4 aus USB | KSBL nennt Belegstelle 5 aus USB | KSBL beantwortet die Frage nicht, nennt aber [1, 2, 3, 4, 5, 6];;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
18;tabelle;Wie viele freie Tage bekomme ich bei meiner Heirat?;21.34;21.23;2171;200;0.0;0;;True;True;;;Bei einer Heirat oder Eintragung der Partnerschaft erhält man am USB zwei Arbeitstage. Bei Heirat oder Eintragung der Partnerschaft von nahen Angehörigen erhält man einen Arbeitstag.;True;True;;;Beim KSBL erhält man bei einer eigenen Heirat oder Eintragung der Partnerschaft drei Arbeitstage. Bei Heirat/Eintragung der Partnerschaft in der Familie (Eltern, Kinder, Trauzeuge bei Geschwistern) erhält man einen Arbeitstag.
19;tabelle;Was ist das Bandminimum im Lohnband 5?;17.85;17.74;2303;161;0.0;1;USB hat Klammernummern im Text: [1];;True;;91 | 656;Gemäss Belegstelle [1] beträgt das Bandminimum im Lohnband 5 CHF 55'549 und das Bandmaximum CHF 91’656.;False;True;Anhang;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
20;keines;Zahlt der Arbeitgeber einen Beitrag an die Verpflegung?;15.57;15.45;2471;134;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
