id;kategorie;frage;runde;gedeckt;beanstandungen;verlauf;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
11;beide;Wie hoch ist die Abfindung bei einer Kündigung?;1;True;;Runde 1 Entwurf USB: Bei einer ordentlichen oder gegenseitig einvernehmlichen Auflösung des Arbeitsverhältnisses kann eine Abfindung ausgerichtet werden, deren Höhe auf Lebensalter, Anstellungsdauer und individuelle soziale Verhältnisse der betroffenen Person basiert. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];58.12;57.99;4330;394;0.0;0;;True;True;;;Bei einer ordentlichen oder gegenseitig einvernehmlichen Auflösung des Arbeitsverhältnisses kann eine Abfindung ausgerichtet werden, deren Höhe auf Lebensalter, Anstellungsdauer und individuelle soziale Verhältnisse der betroffenen Person basiert.;True;True;zwölf Monatslöhne|12 Monatslöhne;;Bei einer gegenseitig einvernehmlichen Auflösung des Arbeitsverhältnisses kann eine Abgangsentschädigung von maximal zwölf Monatslöhren zugesprochen werden.
12;beide;Darf ich eine Nebenbeschäftigung ausüben?;1;True;;Runde 1 Entwurf USB: Die Ausübung einer Nebenbeschäftigung ist bewilligungspflichtig, wenn die Aufgabenerfüllung dadurch beeinträchtigt werden könnte, eine Interessenskollision besteht oder Arbeitszeit in Anspruch genommen wird. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];50.46;50.35;6207;317;0.0;0;;True;True;;;Die Ausübung einer Nebenbeschäftigung ist bewilligungspflichtig, wenn die Aufgabenerfüllung dadurch beeinträchtigt werden könnte, eine Interessenskollision besteht oder Arbeitszeit in Anspruch genommen wird.;True;True;bewilligungspflichtig;;Der Arbeitgeber ermöglicht selbständige oder unselbständige entgeltliche Beschäftigungen, solange diese die berufliche Leistungsfähigkeit nicht beeinträchtigen und den Interessen des Arbeitgebers nicht zuwiderlaufen.
13;nur_eines;Zählt die Umkleidezeit als Arbeitszeit?;2;False;Für das Kantonsspital Baselland sind keine Belegstellen zur Umkleidezeit als Arbeitszeit angegeben.;Runde 1 Entwurf USB: Die Regelung zur Umkleidezeit wird in den jeweiligen Arbeitszeitreglementen festgehalten. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=False, beanstandet=['Für das Kantonsspital Baselland sind keine Belegstellen zur Umkleidezeit als Arbeitszeit angegeben.'] || Runde 2 Entwurf USB: Die Regelung zur Umkleidezeit wird in den jeweiligen Arbeitszeitreglementen festgehalten. || Runde 2 Kritik USB: gedeckt=True, beanstandet=[] || Runde 2 Kritik KSBL: gedeckt=False, beanstandet=['Für das Kantonsspital Baselland sind keine Belegstellen zur Umkleidezeit als Arbeitszeit angegeben.'];96.42;96.25;12155;598;0.0;0;;True;False;;;Die Regelung zur Umkleidezeit wird in den jeweiligen Arbeitszeitreglementen festgehalten.;;True;;Umkleidezeit;Für das Kantonsspital Baselland sind keine Belegstellen zur Umkleidezeit als Arbeitszeit angegeben. Die dort genannten Belegstellen regeln andere Themen.
14;nur_eines;Habe ich Anspruch auf ein Arbeitszeugnis?;2;False;Die Auskunft bezieht sich auf die Belegstellen des UniversitätsSpitals Basel, welche nicht in der Liste der Belegstellen enthalten sind.;Runde 1 Entwurf USB: Die Belegstellen für das UniversitätsSpital Basel geben keine Informationen zum Anspruch auf ein Arbeitszeugnis. || Runde 1 Kritik USB: gedeckt=False, beanstandet=['Die Auskunft bezieht sich auf die Belegstellen des UniversitätsSpitals Basel, welche nicht angegeben sind.'] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[] || Runde 2 Entwurf USB: Die Belegstellen des UniversitätsSpitals Basel geben keine Informationen zum Anspruch auf ein Arbeitszeugnis. || Runde 2 Kritik USB: gedeckt=False, beanstandet=['Die Auskunft bezieht sich auf die Belegstellen des UniversitätsSpitals Basel, welche nicht in der Liste der Belegstellen enthalten sind.'] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[];103.0;102.86;11950;646;0.0;0;;;True;;;Die Belegstellen des UniversitätsSpitals Basel geben keine Informationen zum Anspruch auf ein Arbeitszeugnis.;True;True;;;Mitarbeitende erhalten auf Verlangen ein Zwischenzeugnis und haben Anspruch auf ein Schlusszeugnis, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über ihre Leistung und ihr Verhalten ausspricht.
15;nur_eines;Darf ich das Geschäftsnotebook privat nutzen?;1;True;;Runde 1 Entwurf USB: Die Belegstellen für USB geben keine spezifische Antwort auf die Frage, ob das Geschäftsnotebook privat genutzt werden darf. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];39.62;39.41;4679;257;0.0;0;;;True;;;Die Belegstellen für USB geben keine spezifische Antwort auf die Frage, ob das Geschäftsnotebook privat genutzt werden darf.;False;False;ICT | Reglement;;Die Belegstellen für KSBL geben keine spezifische Antwort auf die Frage, ob das Geschäftsnotebook privat genutzt werden darf.
16;nur_eines;Bekomme ich eine Treueprämie?;2;False;Der GAV des UniversitätsSpital Basel enthält keine spezifischen Belegstellen zu Treueprämien.;Runde 1 Entwurf USB: Der USB GAV enthält keine Belegstelle, die explizit auf Treueprämien eingehen würde. || Runde 1 Kritik USB: gedeckt=False, beanstandet=['Der USB GAV enthält keine Belegstelle, die explizit auf Treueprämien einginge würde.'] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[] || Runde 2 Entwurf USB: Der GAV des UniversitätsSpital Basel enthält keine spezifischen Belegstellen zu Treueprämien. || Runde 2 Kritik USB: gedeckt=False, beanstandet=['Der GAV des UniversitätsSpital Basel enthält keine spezifischen Belegstellen zu Treueprämien.'] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[];98.95;98.83;11306;625;0.0;0;;;True;;;Der GAV des UniversitätsSpital Basel enthält keine spezifischen Belegstellen zu Treueprämien.;True;True;Dienstjahren | CHF;;Die Mitarbeitenden erhalten Treueprämien in Abhängigkeit vom Dienstalter gemäß Ziff. 12.15 des GAV.
17;keines;Habe ich Anspruch auf Homeoffice?;1;True;;Runde 1 Entwurf USB: Die Belegstellen des UniversitätsSpital Basel geben keine Informationen zum Thema Homeoffice. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];38.49;38.37;6391;230;0.0;0;;;True;;Homeoffice;Die Belegstellen des UniversitätsSpital Basel geben keine Informationen zum Thema Homeoffice.;;True;;Homeoffice;Die Belegstellen des Kantonsspital Baselland geben keine Informationen zum Thema Homeoffice.
18;tabelle;Wie viele freie Tage bekomme ich bei meiner Heirat?;2;True;;Runde 1 Entwurf USB: Bei der Heirat oder Eintragung der Partnerschaft hat man Anspruch auf 2 Arbeitstage bezahlten Urlaub. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=False, beanstandet=['Die Auskunft weicht in der Anzahl der Tage von den Belegstellen ab.'] || Runde 2 Entwurf USB: Für die Heirat oder Eintragung der Partnerschaft hat man Anspruch auf 2 Arbeitstage bezahlten Urlaub. || Runde 2 Kritik USB: gedeckt=True, beanstandet=[] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[];104.54;104.42;12569;645;0.0;0;;True;True;;;Für die Heirat oder Eintragung der Partnerschaft hat man Anspruch auf 2 Arbeitstage bezahlten Urlaub.;True;True;;;Für eigene Heirat oder Eintragung der Partnerschaft gibt es Anspruch auf 3 Arbeitstage bezahlter Kurzabsenzen.
19;tabelle;Was ist das Bandminimum im Lohnband 5?;2;False;Das Bandminimum im Lohnband 5 beträgt CHF 55'549.;"Runde 1 Entwurf USB: Das Bandminimum im Lohnband 5 beträgt CHF 55'549. || Runde 1 Kritik USB: gedeckt=False, beanstandet=[""Das Bandminimum im Lohnband 5 beträgt CHF 55'549.""] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[] || Runde 2 Entwurf USB: Das Bandminimum im Lohnband 5 beträgt CHF 55'549. || Runde 2 Kritik USB: gedeckt=False, beanstandet=[""Das Bandminimum im Lohnband 5 beträgt CHF 55'549.""] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[]";106.44;106.31;14452;632;0.0;0;;;True;;;Das Bandminimum im Lohnband 5 beträgt CHF 55'549.;False;True;Anhang;Bandminimum;Die Belegstellen des KSBL geben keine spezifischen Angaben zum Bandminimum im Lohnband 5.
20;keines;Zahlt der Arbeitgeber einen Beitrag an die Verpflegung?;1;True;;Runde 1 Entwurf USB: Der GAV des UniversitätsSpital Basel enthält keine spezifischen Informationen zur Verpflegungsbeiträge durch den Arbeitgeber. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];56.28;56.16;6517;339;0.0;0;;;True;;Verpflegung;Der GAV des UniversitätsSpital Basel enthält keine spezifischen Informationen zur Verpflegungsbeiträge durch den Arbeitgeber.;;True;;Verpflegung;Der GAV des Kantonsspital Baselland enthält keine spezifischen Informationen zur Verpflegungsbeiträge durch den Arbeitgeber.
